日付,予防接種政策強度,1回あたり補助金_円,接種率_パーセント,インフルエンザ患者数,呼吸器系入院件数
2023-01-01,0.537,1472,40.0,3382,364
2023-01-08,0.468,1063,43.2,3125,355
2023-01-15,0.614,0,42.7,2994,329
2023-01-22,0.517,1394,44.9,3243,336
2023-01-29,0.569,1117,48.9,3433,351
2023-02-05,0.607,1195,48.9,2963,358
2023-02-12,0.529,1217,51.2,1786,314
2023-02-19,0.551,1619,49.4,1849,241
2023-02-26,0.261,522,47.8,1871,244
2023-03-05,0.263,689,48.6,1920,238
2023-03-12,0.267,870,41.6,1845,262
2023-03-19,0.273,498,40.2,1401,226
2023-03-26,0.341,755,43.0,1459,186
2023-04-02,0.438,1238,43.7,1091,199
2023-04-09,0.334,1034,44.3,1192,176
2023-04-16,0.243,183,40.6,1048,187
2023-04-23,0.266,711,40.8,1116,171
2023-04-30,0.226,526,39.8,1026,182
2023-05-07,0.241,0,40.0,1094,159
2023-05-14,0.295,677,39.7,1534,191
2023-05-21,0.215,438,38.7,1134,211
2023-05-28,0.171,0,35.7,1860,191
2023-06-04,0.18,260,32.9,1431,242
2023-06-11,0.266,559,32.5,1372,209
2023-06-18,0.23,370,33.3,1173,205
2023-06-25,0.275,567,32.8,1528,188
2023-07-02,0.057,0,30.6,1292,218
2023-07-09,0.105,208,33.5,1445,206
2023-07-16,0.154,71,33.0,1951,207
2023-07-23,0.414,0,32.1,1395,253
2023-07-30,0.403,899,35.9,1690,200
2023-08-06,0.459,1231,35.6,1259,239
2023-08-13,0.399,1102,31.5,1406,183
2023-08-20,0.486,1035,31.6,1803,220
2023-08-27,0.376,934,29.1,1250,233
2023-09-03,0.77,1941,35.3,1759,175
2023-09-10,0.703,1953,39.3,1583,232
2023-09-17,0.681,1942,44.9,1309,209
2023-09-24,0.692,2080,45.8,1598,203
2023-10-01,0.654,1780,45.4,1589,211
2023-10-08,0.607,1494,46.5,1676,212
2023-10-15,0.712,1913,42.4,1254,205
2023-10-22,0.702,2060,45.1,1605,185
2023-10-29,0.735,1998,47.9,1902,194
2023-11-05,0.782,2150,46.8,2089,226
2023-11-12,0.694,2276,51.0,2558,264
2023-11-19,0.773,2438,52.8,2479,302
2023-11-26,0.729,2184,51.6,1970,292
2023-12-03,0.77,1899,54.0,2729,237
2023-12-10,0.777,1926,58.8,2786,307
2023-12-17,0.735,2094,57.5,2775,312
2023-12-24,0.831,1967,57.3,3047,300
2023-12-31,0.473,935,51.6,2891,348
2024-01-07,0.494,1111,48.7,2614,330
2024-01-14,0.535,1761,51.6,2444,296
2024-01-21,0.519,1458,49.4,1836,285
2024-01-28,0.559,1656,50.5,2702,238
2024-02-04,0.622,1326,50.4,2617,285
2024-02-11,0.579,1569,52.3,2474,296
2024-02-18,0.586,0,50.6,1875,281
2024-02-25,0.597,0,51.2,1818,229
2024-03-03,0.297,256,46.3,2357,232
2024-03-10,0.234,631,44.0,1840,296
2024-03-17,0.26,273,40.8,1897,243
2024-03-24,0.347,1082,41.9,1553,236
2024-03-31,0.257,529,42.7,1446,219
2024-04-07,0.255,336,42.7,1465,219
2024-04-14,0.341,952,41.0,1219,216
2024-04-21,0.294,790,42.9,1328,188
2024-04-28,0.218,493,44.0,1210,189
2024-05-05,0.229,596,41.8,1215,193
2024-05-12,0.269,648,43.8,1259,191
2024-05-19,0.224,197,38.7,1341,199
2024-05-26,0.211,397,34.9,1192,203
2024-06-02,0.255,577,30.9,1557,195
2024-06-09,0.247,338,34.7,1114,209
2024-06-16,0.227,271,35.0,1309,192
2024-06-23,0.256,713,34.7,1300,196
2024-06-30,0.131,0,33.1,1750,214
2024-07-07,0.203,551,29.9,1435,223
2024-07-14,0.202,1270,36.2,1606,222
