日付,予防接種政策強度,1回あたり補助金_円,接種率_パーセント,インフルエンザ患者数,呼吸器系入院件数
2019-01-06,0.298,496,35.2,1503,198
2019-01-13,0.353,697,35.6,1452,202
2019-01-20,0.532,1357,69.4,5178,314
2019-01-27,0.697,2050,92.5,7082,796
2019-02-03,0.775,2732,95.1,7961,1319
2019-02-10,0.824,3003,95.2,8090,1828
2019-02-17,0.904,3009,94.9,8086,2257
2019-02-24,0.901,3011,94.5,7814,2611
2019-03-03,0.946,2995,94.8,7431,2877
2019-03-10,0.792,3000,94.7,6868,3069
2019-03-17,0.709,2994,94.6,6178,3176
2019-03-24,0.623,2996,95.5,5368,3191
2019-03-31,0.506,2997,95.1,4445,3144
2019-04-07,0.446,2995,95.1,3382,3003
2019-04-14,0.365,2970,94.9,2307,2805
2019-04-21,0.28,2834,94.9,1406,2537
2019-04-28,0.179,2591,95.3,745,2223
2019-05-05,0.104,2311,95.0,219,1928
2019-05-12,0.054,2008,95.2,46,1607
2019-05-19,0.041,1787,94.9,53,1355
2019-05-26,0.051,1563,94.9,46,1138
2019-06-02,0.056,1380,94.6,49,977
2019-06-09,0.05,1231,94.4,50,822
2019-06-16,0.039,1113,94.9,56,704
2019-06-23,0.049,989,95.0,49,586
2019-06-30,0.049,909,94.6,40,500
2019-07-07,0.06,824,95.0,52,410
2019-07-14,0.043,758,95.0,47,352
2019-07-21,0.048,727,94.4,50,296
2019-07-28,0.059,717,94.7,50,245
2019-08-04,0.052,657,95.1,49,213
2019-08-11,0.053,611,95.1,53,162
2019-08-18,0.051,590,94.7,44,138
2019-08-25,0.052,551,95.0,48,123
2019-09-01,0.054,566,95.3,53,106
2019-09-08,0.046,551,95.2,48,110
2019-09-15,0.11,616,95.0,44,83
2019-09-22,0.103,637,94.9,53,83
2019-09-29,0.211,867,94.8,54,79
2019-10-06,0.262,1055,95.1,50,62
2019-10-13,0.355,1348,95.1,42,51
2019-10-20,0.382,1623,95.2,53,46
2019-10-27,0.464,2024,95.0,248,23
2019-11-03,0.504,2312,95.2,710,51
2019-11-10,0.593,2722,95.0,1385,119
2019-11-17,0.67,2998,95.2,2183,233
2019-11-24,0.738,2998,95.3,3059,400
2019-12-01,0.847,2999,94.8,3904,614
2019-12-08,0.893,2997,94.5,4761,890
2019-12-15,0.944,2998,95.5,5506,1170
2019-12-22,0.947,3000,95.1,6315,1489
2019-12-29,0.947,3002,94.5,7014,1819
2020-01-05,0.957,2998,94.8,7611,2158
2020-01-12,0.952,2998,95.2,8064,2498
2020-01-19,0.949,3000,94.9,8432,2828
2020-01-26,0.952,2990,94.8,8653,3104
2020-02-02,0.939,3002,95.4,8791,3384
2020-02-09,0.95,3000,94.7,8786,3621
2020-02-16,0.957,3000,94.8,8563,3820
2020-02-23,0.951,3005,95.1,8247,3950
2020-03-01,0.95,2990,95.1,7727,4048
2020-03-08,0.863,2990,95.1,7163,4072
2020-03-15,0.776,3001,95.3,6400,4047
2020-03-22,0.655,3000,95.1,5527,3938
2020-03-29,0.557,3001,95.1,4569,3780
2020-04-05,0.463,2998,94.9,3501,3572
2020-04-12,0.407,3003,95.0,2365,3291
2020-04-19,0.328,2932,95.0,1537,2946
2020-04-26,0.251,2753,95.1,884,2589
2020-05-03,0.17,2506,95.2,269,2249
2020-05-10,0.079,2230,95.2,43,1904
2020-05-17,0.039,1980,95.0,49,1590
2020-05-24,0.049,1717,94.8,56,1336
2020-05-31,0.049,1529,95.0,48,1128
2020-06-07,0.048,1321,95.0,50,951
2020-06-14,0.055,1206,95.1,55,811
2020-06-21,0.056,1068,95.7,58,675
2020-06-28,0.049,1004,94.8,48,577
2020-07-05,0.039,921,95.1,50,488
2020-07-12,0.068,869,95.3,57,417
2020-07-19,0.053,772,95.0,44,330
2020-07-26,0.052,736,95.7,54,286
2020-08-02,0.055,698,94.9,46,278
2020-08-09,0.044,645,95.1,50,266
2020-08-16,0.06,618,94.8,49,203
2020-08-23,0.045,561,94.9,46,190
2020-08-30,0.054,503,95.1,46,161
2020-09-06,0.042,484,95.3,51,146
2020-09-13,0.151,660,95.1,54,114
2020-09-20,0.18,730,95.4,49,105
2020-09-27,0.252,952,95.0,50,85
2020-10-04,0.309,1246,94.9,52,80
2020-10-11,0.306,1438,95.8,46,59
2020-10-18,0.356,1712,95.1,53,57
2020-10-25,0.434,1962,94.8,276,56
2020-11-01,0.503,2315,94.8,734,76
2020-11-08,0.56,2680,94.7,1342,133
2020-11-15,0.631,2994,95.3,2124,240
2020-11-22,0.714,2998,94.9,2949,388
2020-11-29,0.789,3003,95.0,3828,607
2020-12-06,0.869,2997,95.0,4678,868
2020-12-13,0.946,3001,95.2,5516,1156
